Order,Species,Sex
1,Hsapiens,Fe
2,Ptroglodytes,Fe
3,Ggorilla,Fe
4,Ppygmaeus,Fe
5,Hlar,Fe
6,Ssyndactylus,Fe
7,Ctorquatus,Fe
8,Cguereza,Fe
9,Panubis,Fe
10,Phamadryas,Fe
11,Tgelada,Fe
12,Mleucophaeus,Fe
13,Msphinx,Fe
14,Mmulatta,Fe
15,Mfuscata,Fe
16,Nlarvatus,Fe
17,Tobscurus,Fe
18,Epatas,Fe
19,Ageoffroyi,Fe
20,Atrivirgatus,Fe
21,Capella,Fe
22,Llagothricha,Fe
23,Ssciureus,Fe
24,Soedipus,Fe
25,Cjacchus,Fe
26,Cgoeldii,Fe
27,Lcatta,Fe
28,Efulvus,Fe
29,Vvariegata,Fe
30,Mmurinus,Fe
31,Gsenegalensis,Fe
32,Gmoholi,Fe
