Group,Groups,Binomial,Species.short,Species,HL,Head_HB,Face_HB,HH,Ratio.face,Ratio.head
Platyrrhini,Platyrrhini,Ateles_geoffroyi,Ageoffroyi,Ateles geoffroyi,66.9,52.2,52.2,60.9,0.857142857,0.780269058
Platyrrhini,Platyrrhini,Aotus_trivirgatus,Atrivirgatus,Aotus trivirgatus,28,20,20,20,1,0.714285714
Platyrrhini,Platyrrhini,Callimico_goeldii,Cgoeldii,Callimico goeldii,30,23,23,24,0.958333333,0.766666667
Cercopithecoidea,Cercopithecoidea,Colobus_guereza,Cguereza,Colobus guereza,54.5,42.5,42.5,40.5,0.952941176,0.743119266
Platyrrhini,Platyrrhini,Callithrix_jacchus,Cjacchus,Callithrix jacchus,27.68,18.12,18.12,19.07,0.950183534,0.654624277
Lemuroidea,Strepsirrhini,Eulemur_fulvus_fulvus,Efulvus,Eulemur fulvus,33,25,25,25,1,0.757575758
Cercopithecoidea,Cercopithecoidea,Erythrocebus_patas,Epatas,Erythrocebus patas,58.78,45.23,45.23,47.5,0.952210526,0.769479415
Hominoidea,Hominoidea,Gorilla_gorilla_gorilla,Ggorilla,Gorilla gorilla,95.6,79.41,80.22,77.18,0.962104213,0.807322176
Lorisoidea,Strepsirrhini,Galago_moholi,Gmoholi,Galago moholi,20.21,15.51,15.51,13.85,0.892972276,0.685304305
Lorisoidea,Strepsirrhini,Galago_senegalensis,Gsenegalensis,Galago senegalensis,18.57,14.82,14.82,13.74,0.927125506,0.739903069
Hominoidea,Hominoidea,Hylobates_lar,Hlar,Hylobates lar,63.33,50.67,47.63,51.24,0.929547229,0.752092215
Hominoidea,Hominoidea,Homo_sapiens,Hsapiens,Homo sapiens,123.8,98.5,98.5,101.5,0.97044335,0.795638126
Lemuroidea,Strepsirrhini,Lemur_catta,Lcatta,Lemur catta,33.22,26.05,26.05,26.34,0.988990129,0.784166165
Platyrrhini,Platyrrhini,Lagothrix_lagotricha,Llagothricha,Lagothrix lagothricha,61,48,48,52,0.923076923,0.786885246
Cercopithecoidea,Cercopithecoidea,Macaca_mulatta,Mmulatta,Macaca mulatta,66.44,50.61,50,48.3,0.966,0.726971704
Lemuroidea,Strepsirrhini,Microcebus_murinus,Mmurinus,Microcebus murinus,15.59,9.85,9.85,9.9,0.994949495,0.631815266
Cercopithecoidea,Cercopithecoidea,Mandrillus_sphinx,Msphinx,Mandrillus sphinx,68.85,52.52,51.04,49.7,0.973746082,0.721859114
Cercopithecoidea,Cercopithecoidea,Nasalis_larvatus,Nlarvatus,Nasalis larvatus,58,45,45,45,1,0.775862069
Cercopithecoidea,Cercopithecoidea,Papio_anubis,Panubis,Papio anubis,75.56,61.19,60.29,61.61,0.978574907,0.797908947
Cercopithecoidea,Cercopithecoidea,Papio_hamadryas,Phamadryas,Papio hamadryas,58.63,47.43,47.43,47.55,0.997476341,0.808971516
Hominoidea,Hominoidea,Pongo_pygmaeus,Ppygmaeus,Pongo pygmaeus,83.23,73.7,71.31,72.7,0.98088033,0.85678241
Hominoidea,Hominoidea,Pan_troglodytes_troglodytes,Ptroglodytes,Pan troglodytes,84.06,71.43,67.31,71.09,0.946827965,0.800737568
Platyrrhini,Platyrrhini,Sapajus_apella,Sapella,Sapajus apella,47.5,34,34,38.5,0.883116883,0.715789474
Platyrrhini,Platyrrhini,Saguinus_oedipus,Soedipus,Saguinus oedipus,37.91,25.13,25.13,25.32,0.992496051,0.662885782
Platyrrhini,Platyrrhini,Saimiri_sciureus,Ssciureus,Saimiri sciureus,40,28,28,32,0.875,0.7
Hominoidea,Hominoidea,Symphalangus_syndactylus,Ssyndactylus,Symphalangus syndactylus,65.1,50.01,50.01,47.88,0.957408518,0.735483871
Cercopithecoidea,Cercopithecoidea,Theropithecus_gelada,Tgelada,Theropithecus gelada,78,57,57,56,0.98245614,0.717948718
Cercopithecoidea,Cercopithecoidea,Trachypithecus_obscurus,Tobscurus,Trachypithecus obscurus,65,47.5,47.5,45,0.947368421,0.692307692
Lemuroidea,Strepsirrhini,Varecia_variegata_variegata,Vvariegata,Varecia variegata,37.2,27.23,27.23,28.5,0.955438596,0.731989247
